event_time,update,os,source,try_cnt,success_cnt
2018-07-11,after,android,facebook,354,58.0
2018-07-11,after,android,google_plus,881,199.0
2018-07-11,after,android,naver,2171,457.0
2018-07-11,after,ios,email,84,37.0
2018-07-11,after,ios,facebook,92,29.0
2018-07-11,after,ios,google_plus,139,30.0
2018-07-11,after,ios,naver,505,94.0
2018-07-11,before,android,email,84,17.0
2018-07-11,before,android,facebook,10,1.0
2018-07-11,before,android,google_plus,57,9.0
2018-07-11,before,android,naver,99,38.0
2018-07-11,before,ios,email,9,5.0
2018-07-11,before,ios,facebook,2,1.0
2018-07-11,before,ios,google_plus,3,1.0
2018-07-11,before,ios,naver,9,5.0
2018-07-12,after,android,email,519,159.0
2018-07-12,after,android,facebook,369,67.0
2018-07-12,after,android,google_plus,853,209.0
2018-07-12,after,android,naver,2107,496.0
2018-07-12,after,ios,email,120,34.0
2018-07-12,after,ios,facebook,119,30.0
2018-07-12,after,ios,google_plus,166,47.0
2018-07-12,after,ios,naver,546,89.0
2018-07-12,before,android,email,92,19.0
2018-07-12,before,android,facebook,24,10.0
2018-07-12,before,android,google_plus,75,11.0
2018-07-12,before,android,naver,114,40.0
2018-07-12,before,ios,email,13,4.0
2018-07-12,before,ios,facebook,3,1.0
2018-07-12,before,ios,google_plus,4,1.0
2018-07-12,before,ios,naver,21,4.0
2018-07-13,after,android,email,445,140.0
2018-07-13,after,android,facebook,394,71.0
2018-07-13,after,android,google_plus,838,182.0
2018-07-13,after,android,naver,2137,417.0
2018-07-13,after,ios,email,120,44.0
2018-07-13,after,ios,facebook,128,36.0
2018-07-13,after,ios,google_plus,182,45.0
2018-07-13,after,ios,naver,621,94.0
2018-07-13,before,android,email,99,18.0
2018-07-13,before,android,facebook,10,4.0
2018-07-13,before,android,google_plus,55,10.0
2018-07-13,before,android,naver,115,45.0
2018-07-13,before,ios,email,12,5.0
2018-07-13,before,ios,facebook,2,0
2018-07-13,before,ios,google_plus,4,1.0
2018-07-13,before,ios,naver,10,5.0
2018-07-14,after,android,email,400,111.0
2018-07-14,after,android,facebook,264,42.0
2018-07-14,after,android,google_plus,613,157.0
2018-07-14,after,android,naver,1649,345.0
2018-07-14,after,ios,email,103,34.0
2018-07-14,after,ios,facebook,155,22.0
2018-07-14,after,ios,google_plus,151,20.0
2018-07-14,after,ios,naver,546,60.0
2018-07-14,before,android,email,27,8.0
2018-07-14,before,android,facebook,9,0
2018-07-14,before,android,google_plus,36,12.0
2018-07-14,before,android,naver,58,24.0
2018-07-14,before,ios,email,9,4.0
2018-07-14,before,ios,naver,6,1.0
2018-07-15,after,android,email,277,80.0
2018-07-15,after,android,facebook,290,31.0
2018-07-15,after,android,google_plus,609,118.0
2018-07-15,after,android,naver,1458,288.0
2018-07-15,after,ios,email,73,17.0
2018-07-15,after,ios,facebook,162,25.0
2018-07-15,after,ios,google_plus,155,19.0
2018-07-15,after,ios,naver,589,58.0
2018-07-15,before,android,email,44,7.0
2018-07-15,before,android,facebook,18,2.0
2018-07-15,before,android,google_plus,28,4.0
2018-07-15,before,android,naver,58,17.0
2018-07-15,before,ios,facebook,2,0
2018-07-15,before,ios,google_plus,2,1.0
2018-07-15,before,ios,naver,4,1.0
